,idx,pool_factor,pool_type,cross_idx,repeat_idx,loss,accuracy,consis_b,consis_ub,consis_n,consis_a,consis_a_s,robustness,with_augment,marker,blur_size
4,48,1,maxblur-5,4,7,0.3423200461962452,0.9041095972061156,0.798429828610915,0.6828163247458237,0.9060219905290328,0.6422853726470825,0.6908376666927974,0.7699174483617147,False,p,5
0,6,1,maxblur-6,0,5,0.7378867735733857,0.8310810923576355,0.8706853111615016,0.8967984602048161,0.8080235461187841,0.9131457589623464,0.9333470762042192,0.7781882484753927,False,h,6
1,20,1,maxblur-6,1,9,1.0881883567803865,0.7142857313156128,0.7849817906960765,0.6480023144646075,0.9292352092352092,0.5940573858001699,0.6407283721569437,0.5250890950361887,False,h,6
2,22,1,maxblur-6,2,1,0.2188577876488368,0.9266666769981384,0.9717781674728836,0.9807807135393342,0.9519601946216426,0.9861615265341972,0.9915961403241248,0.5615450342496237,False,h,6
3,37,1,maxblur-6,3,6,0.1285184294699806,0.9589040875434875,0.9351142932631866,0.9493637675455856,0.9677371588840402,0.9460274228268384,0.9024914276423333,0.9270379245281221,False,h,6
4,47,1,maxblur-6,4,6,0.43544256972940004,0.8493150472640991,0.7582435449638669,0.7068583172479277,0.7857563853539707,0.6925315580777766,0.730730704573763,0.6956165830294291,False,h,6
0,8,1,maxblur-7,0,7,0.5811833497640249,0.8243243098258972,0.7903410522458141,0.8076565006524895,0.8324915824915825,0.8030832886514291,0.7481905220000458,0.8198667367299398,False,*,7
1,14,1,maxblur-7,1,3,1.0016146925362674,0.7922077775001526,0.882171373599945,0.7447037600317796,0.9318133718133718,0.7088131695365893,0.8325293753865183,0.5952604909737905,False,*,7
2,23,1,maxblur-7,2,2,0.2276654196778933,0.9066666960716248,0.9195081934807964,0.8892371995820272,0.974449555662863,0.8733279873214108,0.8645668312987296,0.5847072005271912,False,*,7
3,40,1,maxblur-7,3,9,0.052663549678782895,0.9863013625144958,0.9778236518679176,0.9634270079539096,0.9701063524001152,0.9622141346657241,0.98554095133572,0.952001005411148,False,*,7
4,41,1,maxblur-7,4,0,0.4977368385824439,0.8698630332946777,0.7718635042578705,0.7113979266112846,0.8313285194572922,0.6896202486264599,0.7123984890584488,0.6384031772613525,False,*,7
0,5,2,max,0,4,2.05690932596052,0.7432432174682617,0.6760232712613665,0.5817210318907327,0.8076227123846171,0.5401227684749789,0.5444238301381158,0.7461084127426147,False,$M$,0
1,17,2,max,1,6,2.1932233990012824,0.7597402334213257,0.7430550401978973,0.6321921147181723,0.885571359857074,0.5835899577222193,0.6005387205387205,0.5432521104812622,False,$M$,0
2,24,2,max,2,3,0.7232353639602661,0.8666666746139526,0.7627265102803263,0.6747693330205645,0.9417434055398828,0.624925068841766,0.5837096150207697,0.5739606022834778,False,$M$,0
3,37,2,max,3,6,0.9247971128111016,0.8493150472640991,0.7952418696885497,0.6500922289419506,0.9941176641377848,0.5876221371288963,0.5963660752393147,0.8113540709018707,False,$M$,0
4,48,2,max,4,7,0.9446938282822908,0.8082191944122314,0.6608046547684376,0.5925774218909655,0.7396209871058967,0.56587641644273,0.5819883224309785,0.7113920450210571,False,$M$,0
0,4,2,avg,0,3,0.971609083381859,0.7905405163764954,0.7465900501614787,0.6945378321496803,0.808361391694725,0.6735779950979074,0.6848187086282325,0.7372359434763589,False,$A$,-1
1,20,2,avg,1,9,1.8574390210114515,0.5714285969734192,0.7140163540163539,0.5891453733268571,0.9198625712911426,0.5257085706482857,0.5081701367415654,0.5354221264521279,False,$A$,-1
2,28,2,avg,2,7,1.0206360638141632,0.8000000119209291,0.7545287936677371,0.6235392276032671,0.9721622148236628,0.5584510484035511,0.5368953725118109,0.7648534377415975,False,$A$,-1
3,35,2,avg,3,4,0.39050282517524615,0.8424657583236694,0.8021404037500617,0.7721940671847907,1.0,0.7308277724792157,0.6042808075001235,0.8938618898391724,False,$A$,-1
4,47,2,avg,4,6,0.5122651588426878,0.7945205569267273,0.7242676840262353,0.7452500087008436,0.7849376199476803,0.7380433069143336,0.6635977481047903,0.6554534832636515,False,$A$,-1
0,5,2,maxblur-3,0,4,1.004803796072264,0.8716216087341309,0.8039350420302801,0.8031329293285481,0.8040896493277445,0.8029567558248597,0.8037804347328156,0.7219538291295371,False,^,3
1,13,2,maxblur-3,1,2,1.5135729738644188,0.6298701167106628,0.7357905586477015,0.7274673687917096,0.7717309145880574,0.7189769188307734,0.6998502027073455,0.5695493618647257,False,^,3
2,22,2,maxblur-3,2,1,0.18937737782796224,0.9399999976158142,0.8876124962230638,0.8766953489859893,0.9172490914173892,0.8691239341586436,0.8579759010287386,0.5154567559560139,False,^,3
